timeSec,x,y
16.60,36,636
16.64,36,637
16.68,36,636
16.73,36,637
16.77,36,638
16.81,36,637
16.85,36,637
16.89,36,637
16.93,36,638
16.98,36,638
17.02,36,637
17.06,36,638
17.10,36,638
17.14,36,639
17.18,36,638
17.23,36,638
17.27,36,638
17.31,36,638
17.35,36,638
17.39,36,638
17.43,36,638
17.48,36,639
17.52,36,639
17.56,36,639
17.60,36,639
17.64,35,637
17.68,36,638
17.73,36,639
17.77,35,638
17.81,35,638
17.85,36,639
17.89,35,639
17.93,35,639
17.98,35,639
18.02,35,639
18.06,35,639
18.10,34,638
18.14,35,639
18.18,34,639
18.23,35,639
18.27,35,640
18.31,35,640
18.35,35,640
18.39,35,640
18.44,35,640
18.48,35,640
18.52,35,640
18.56,35,641
18.60,35,641
18.64,35,641
18.69,36,641
18.73,36,641
18.77,36,641
18.81,9,54
18.85,10,51
18.89,9,54
18.94,9,54
18.98,9,54
19.02,7,65
19.06,7,64
19.10,9,54
19.14,9,53
19.19,9,53
19.23,9,53
19.27,9,53
19.31,8,60
19.35,7,60
19.39,9,55
19.44,36,641
19.48,36,641
19.52,36,641
19.56,36,641
19.60,36,641
19.64,36,641
19.69,36,641
19.73,36,641
19.77,35,641
19.81,35,641
19.85,35,641
19.89,35,641
19.94,35,641
19.98,35,641
20.02,12,38
20.06,10,50
20.10,7,63
20.15,7,63
20.19,36,641
20.23,36,641
20.27,36,641
20.31,6,65
20.35,36,641
20.40,36,641
20.44,36,641
20.48,36,641
20.52,36,641
20.56,36,641
20.60,35,641
20.65,35,642
20.69,35,642
20.73,36,642
20.77,36,642
20.81,36,642
20.85,10,49
20.90,10,48
20.94,36,642
20.98,36,642
21.02,35,642
21.06,36,642
21.10,32,534
21.15,31,535
21.19,36,642
21.23,36,643
21.27,36,643
21.31,36,643
21.35,36,643
21.40,36,644
21.44,36,643
21.48,9,52
21.52,6,65
21.56,9,53
21.60,9,52
21.65,10,50
21.69,9,53
21.73,9,53
21.77,9,52
21.81,9,52
21.86,7,62
21.90,7,62
21.94,7,62
21.98,7,61
22.02,7,61
22.06,7,60
22.11,9,52
22.15,9,53
22.19,7,62
22.23,7,62
22.27,10,50
22.31,10,50
22.36,9,52
22.40,7,62
22.44,9,54
22.48,9,54
22.52,9,55
22.56,9,54
22.61,9,53
22.65,9,53
22.69,9,53
22.73,5,74
22.77,5,73
22.81,5,73
22.86,5,73
22.90,4,81
22.94,5,73
22.98,5,73
23.02,99,538
23.06,99,538
23.11,5,71
23.15,5,71
23.19,8,56
23.23,9,54
23.27,9,54
23.31,3,82
23.36,4,80
23.40,4,80
23.44,4,80
23.48,36,649
23.52,37,649
23.57,37,649
23.61,37,649
23.65,163,402
23.69,5,71
23.73,8,59
23.77,4,79
23.82,4,79
23.86,4,79
23.90,9,53
23.94,9,54
23.98,9,54
24.02,9,53
24.07,4,77
24.11,4,78
24.15,4,78
24.19,5,71
24.23,5,71
24.27,5,71
24.32,4,79
24.36,4,80
24.40,4,79
24.44,97,538
24.48,97,538
24.52,4,78
24.57,4,78
24.61,4,78
24.65,4,78
24.69,39,648
24.73,98,539
24.77,98,539
24.82,99,538
24.86,99,538
24.90,39,648
24.94,39,648
24.98,40,648
25.02,4,78
25.07,5,77
25.11,98,539
25.15,97,539
25.19,97,539
25.23,5,78
25.28,98,539
25.32,8,60
25.36,9,56
25.40,9,58
25.44,97,538
25.48,97,538
25.53,97,538
25.57,98,539
25.61,98,538
25.65,98,538
25.69,9,55
25.73,15,28
25.78,10,53
25.82,10,54
25.86,10,54
25.90,96,538
25.94,10,54
25.98,97,538
26.03,97,538
26.07,97,538
26.11,10,52
26.15,10,53
26.19,10,52
26.23,10,52
26.28,94,538
26.32,94,538
26.36,97,539
26.40,97,538
26.44,97,539
26.48,97,538
26.53,97,538
26.57,97,538
26.61,6,76
26.65,97,539
26.69,98,539
26.74,97,539
26.78,162,400
26.82,96,539
26.86,40,648
26.90,96,539
26.94,161,401
26.99,93,538
27.03,93,538
27.07,41,648
27.11,41,648
27.15,93,538
27.19,93,538
27.24,96,539
27.28,162,401
27.32,162,401
27.36,162,401
27.40,161,402
27.44,161,402
27.49,96,539
27.53,161,402
27.57,161,402
27.61,161,402
27.65,160,402
27.69,161,402
27.74,161,402
27.78,6,74
27.82,161,402
27.86,161,402
27.90,161,402
27.94,7,67
27.99,41,648
28.03,41,647
28.07,95,539
28.11,95,539
28.15,95,539
28.19,97,539
28.24,96,539
28.28,161,402
28.32,96,539
28.36,95,539
28.40,96,539
28.45,42,647
28.49,160,403
28.53,96,539
28.57,97,539
28.61,97,539
28.65,97,539
28.70,96,539
28.74,97,539
28.78,97,539
28.82,97,539
28.86,96,540
28.90,5,77
28.95,6,76
28.99,6,76
29.03,6,76
29.07,160,404
29.11,160,404
29.15,160,404
29.20,160,404
29.24,160,404
29.28,95,539
29.32,95,539
29.36,95,539
29.40,95,539
29.45,93,539
29.49,93,539
29.53,93,539
29.57,5,77
29.61,5,76
29.65,5,76
29.70,6,75
29.74,6,75
29.78,9,58
29.82,97,539
29.86,6,70
29.90,93,539
29.95,92,539
29.99,92,539
30.03,92,539
30.07,93,539
30.11,93,539
30.16,93,539
30.20,93,539
